Crossover	Uniform	Swap	Inversion	Shift
18922	34809	34551	35032	25971
18943	34219	32400	33239	24800
18891	34730	33740	32430	24242
18883	32395	34124	34138	24291
18874	35409	33771	32173	24962
18883	32945	33274	34709	25458
18851	34196	33470	31868	24636
18904	32140	33056	33164	24349
18883	34736	34088	33591	24633
19245	32664	34084	33680	26936
18870	33487	34893	34717	23259
18900	33656	34046	34085	25353
18874	35413	34037	33847	25151
18922	34061	33938	33721	25968
18904	34266	34448	32515	24855
18931	33278	34030	34935	24397
19019	35513	34417	32796	23853
18907	33783	34037	34976	25206
18922	31647	34780	34454	25850
18835	35566	32539	34770	25716
18878	32029	33843	34204	26465
18909	32466	35284	32967	26190
18878	34720	33629	33217	25278
18799	33721	34450	34152	25840
18922	32075	32716	34134	26275
18942	35787	34321	34741	26169
18927	31993	34749	34068	24511
19087	32519	35679	35093	24789
18922	33300	34037	32639	22763
18922	34512	34004	34266	25406
18936	33495	32557	33784	23445
18883	34724	33640	34296	27018
18922	33625	30887	33964	26082
18909	34746	33391	35134	24632
18909	33773	34099	35966	24453
18882	31172	34843	36153	23759
18922	32682	33021	34460	23295
18922	35474	35362	34901	25498
18922	33206	33321	34377	24228
18883	35284	34391	34149	27107
18895	34690	33632	34950	24580
18927	35116	34221	32969	25522
18878	33169	35786	33743	25550
18901	33013	33120	32418	24866
18883	34323	33440	32857	23441
18922	33248	33778	34809	24003
19110	33786	32141	34795	24546
18928	34581	34805	34124	24909
18922	36744	33179	33380	24568
18912	35431	32786	31734	23983
18922	34774	32582	34399	26083
18870	32237	33088	34016	25887
18911	33821	34749	31467	26092
18898	32420	32902	33667	25423
18922	32664	33884	35509	24547
18902	34852	34866	32590	25237
18846	33297	34419	35331	25287
18831	34213	35240	33509	26333
18829	33794	35406	36143	24659
18931	32305	35126	33322	27078
18939	34043	34224	32538	24787
18936	34367	32638	31464	24096
18883	35821	34142	34299	23737
18904	33403	34471	33693	26650
18922	34011	33117	32980	24751
19070	32703	32666	34215	26220
18851	34036	34201	33692	26045
18904	33123	32418	33123	27472
18940	32110	33333	35112	24265
18868	33471	34328	32420	26238
18923	34508	34369	34484	24640
18927	33694	35143	33794	25067
18904	33709	33366	35146	23211
18883	33102	34123	33895	24871
18972	33262	33318	33952	25268
18870	34574	34038	35513	25552
18890	34294	34325	33545	25903
18895	34549	31437	34109	23537
18823	32834	34981	35178	24516
19110	33630	34490	33435	26354
18903	33616	31976	36186	25068
19003	33703	34366	33733	24977
18904	33556	35747	33924	25304
19329	33543	34415	33541	24818
18865	33248	34528	34468	25981
18912	34508	33484	34795	24061
18917	35543	34449	33644	25886
19085	34703	33416	34032	24937
18888	32975	33040	35221	23843
18826	33173	34089	33726	25754
18879	33934	33546	34988	23178
18938	33775	33606	32499	27318
18971	33180	33435	33952	24821
18838	36957	34936	32914	25140
18922	34009	33359	33454	27605
18903	34110	33682	34827	26072
18884	34854	33651	35068	24890
18922	35036	34362	34073	26017
19015	35360	35402	33398	25686
19131	32550	32318	34228	26849
18868	33889	33747	34012	24440
18881	33673	34505	34869	28494
19022	33869	35352	34017	27255
19083	34913	32560	35133	24647
18835	35157	34991	34484	25824
18865	32916	35578	34285	26151
18916	33810	34110	33495	26260
18823	35585	33621	32553	22888
18870	35037	33133	33153	24469
18922	33950	32952	33520	25345
18892	31796	33297	34111	26126
18937	35091	35150	33583	25897
18860	36060	34718	34441	27670
19022	34280	33970	35267	27061
18907	33812	35195	34198	26039
18888	33383	35346	32304	25571
18888	34374	34766	33514	25428
18893	32733	32921	33763	26089
18896	35415	34856	34793	25157
18909	32892	34893	34627	25478
19097	34880	34765	32771	24892
18914	33040	33813	34264	28018
18812	33068	36954	33829	25862
18839	36885	33742	33924	25729
19011	35241	35405	33184	24178
18773	32144	34345	34835	26162
18904	32805	35629	34787	25177
18817	34453	34342	34806	24485
18879	33218	34320	33696	27047
18939	33234	34785	32665	24718
18892	34492	32972	33861	27092
18922	34682	34707	34656	24906
18870	33061	32928	35253	24845
18927	33596	33768	34430	25467
19263	33761	34809	33120	25042
19022	35073	33710	33017	24391
18883	34946	32916	32486	22055
18904	33714	34228	35073	25740
18927	33427	33584	32747	24382
18931	33638	32637	34547	25345
18892	33586	32366	34827	24609
18922	35795	32960	34310	25006
18941	33486	35067	33681	23895
18972	33300	34620	33419	26149
18904	34417	33400	35098	23678
18927	33478	35160	35006	23811
18830	34696	34696	33383	26041
18874	34939	34854	34009	27379
18900	33294	34393	33681	24927
18835	34814	32470	33558	25707
18888	32282	33197	32230	25655
18883	34776	33565	34607	25890
19193	34270	35360	34269	25307
18904	33877	33652	34049	25982
18830	34929	32756	34441	23411
18904	33391	34509	35347	25487
18846	34783	33281	34453	27174
18851	33387	34986	34426	24139
19090	34317	33408	34761	24055
18945	32615	33697	33331	26068
18878	32698	33607	35730	26173
18922	32090	35318	34620	23800
18851	33871	34944	32847	25303
18904	34450	34954	34723	26903
18922	34937	33522	33852	24210
19109	34256	34031	33518	25814
18971	34586	34106	33024	25670
18860	32830	33795	34915	22197
18879	32640	35127	33494	26140
19091	34545	34917	34348	24552
19131	35202	34152	35603	26728
18846	34906	33336	34274	25029
18879	34669	33274	32661	25265
18879	33192	33359	32589	26084
18904	33528	33354	34045	24424
18817	35613	34010	34279	23402
19052	31995	32261	32912	25269
18941	33336	33188	33663	26158
18922	33658	32712	35932	26993
18922	32993	33737	34843	25207
18936	34748	33201	35976	26161
18909	34681	35000	34679	26345
18904	32918	33483	33018	26105
18931	34813	32839	34533	25335
18936	33192	34732	35340	25217
18895	33045	34382	33217	23856
18850	32943	34124	33080	26462
19034	34276	34687	33899	25513
18820	34129	33041	33967	24930
18851	34215	33473	33509	24482
19084	33813	33612	34375	26832
18883	32289	34496	35251	25405
18758	34445	34328	34478	24172
18887	33295	34753	33675	25859
18860	34698	32825	33874	24581
18922	32029	33545	33095	23596
18812	33297	34049	32971	24549
18884	33434	34262	35221	25933
18879	33201	36221	34596	23770
18941	35224	33796	34045	27889
18900	33900	32995	34136	24498
19065	32529	33767	33482	28338
18897	32840	34592	33461	23624
19101	33146	33341	35616	26168
18890	35461	33777	32591	25243
18838	33262	33967	34744	25308
18941	34195	34711	33336	26495
18892	33139	34618	33614	24962
18936	33941	33603	32833	24667
18904	33303	33419	35443	25683
18904	35166	33093	34340	25542
19133	32391	34966	33433	24791
18922	34116	33112	33941	26268
18895	33656	34721	34042	25492
18939	31610	35899	35315	26060
18883	32416	33567	32269	25801
18909	34706	34651	32659	25751
18922	33892	33871	33020	26421
18858	34742	33776	34023	26200
18865	33470	32800	33066	26188
18855	35547	33959	34103	25928
19109	34088	33930	34327	26094
18897	33086	33228	34010	23176
18852	36672	33439	33176	22892
18879	35609	32788	32724	23387
18902	33036	31593	31219	23339
18904	33104	32326	33890	26809
18971	33827	34688	32609	24882
18899	34362	34131	33482	24668
18922	34588	34001	34677	26557
18891	34112	33859	33677	24772
18904	35452	34761	36379	23844
18856	33961	32336	35353	25602
18898	32432	33399	33548	24681
18922	34041	34138	32834	26312
18897	33637	34229	33707	26183
18898	32832	34260	33882	23751
18860	32698	34742	34598	27998
18904	33422	33259	34061	25708
18812	34171	33430	36168	26698
18922	34483	34574	35036	24341
19072	32518	34437	33198	23542
18947	32545	33447	32266	24809
18904	32764	34217	33862	25329
18922	35648	32088	33382	25580
19038	33423	33351	34145	26167
18856	34281	33607	33126	25276
19067	33049	33781	35236	23714
18874	33366	34270	34430	24667
19119	34793	32477	35418	25225
18874	33063	33234	34538	24999
18874	34273	34208	33829	26051
18890	34190	34486	35227	24725
18892	32326	34981	34991	27298
18909	31083	33266	32540	24810
18907	32576	34692	33362	25332
18900	33500	33048	33435	27371
18904	34047	34392	34184	25999
19021	32689	35019	34256	25734
19276	34237	34538	33640	24682
19223	33388	34204	34149	24820
18890	32996	34343	32823	24865
18883	33906	36163	33677	26684
18936	34199	32473	35686	24478
18909	32687	35008	33411	25865
19005	34646	33170	33732	24187
18909	33764	34351	33489	24688
19218	34938	33184	34263	25227
18901	34263	35198	34067	25420
18874	32458	35262	32711	26086
18879	34376	34763	34745	25538
18860	35314	33503	34057	25675
18890	33432	34583	34006	25267
18927	33280	34498	34396	24069
18904	34853	32638	34213	25146
18919	34969	34609	36216	25949
18874	35400	33594	34690	25961
18950	34073	33207	34411	24432
18881	33090	34472	33571	24526
18927	34126	34409	34313	25450
19098	33724	33414	33962	26775
18907	34578	34718	32425	25672
19091	33203	35773	33251	26073
18927	33062	34293	34081	26182
18936	32301	33107	33230	25449
18868	33780	33585	34594	26252
18901	35640	32744	34624	25812
18829	34583	33343	32041	26404
18895	32573	33417	34037	25603
18939	35652	34392	33536	25509
18922	34603	33468	36185	26272
18904	33968	33439	34730	26790
18904	33474	33198	34656	28259
18875	35534	33574	34754	24455
18892	34391	33034	34911	22739
19128	34536	34291	34356	24373
18878	33462	34226	33907	24414
18922	32638	36078	36041	25628
19034	35131	34023	32848	25393
18922	33362	33840	31627	25787
19040	33307	34137	33308	24363
18884	33586	33043	33067	24540
18870	33637	33832	33876	25673
18852	33964	34618	34262	25285
18812	31563	34604	33344	25079
18922	33164	34965	34599	24113
18904	33423	33832	36244	24826
18944	32108	35418	32931	24037
18731	35720	33905	33322	24865
18838	34757	32368	34819	24761
18922	33691	33451	35476	25739
18876	33333	33371	35205	26112
19104	34749	35193	35388	24199
18981	33440	34135	33084	24326
18941	33493	33411	34563	28140
18904	35599	35181	33315	27462
18922	35726	33939	32089	25334
18860	33195	34971	32830	26190
18860	33220	33827	31876	23462
18922	33901	35048	34229	26452
18904	33067	34050	34311	25585
18944	33667	32177	34483	26720
18816	33940	33274	34104	24757
18853	33355	34785	35286	26154
19373	35300	33753	36214	25615
18865	32414	35567	34083	25561
18837	33366	34358	35256	25981
18927	33353	33434	33305	26607
19172	35297	34944	34324	25891
19033	35982	34454	36036	24154
18862	33755	34333	32890	25075
19018	33657	34086	34076	25149
18890	34233	33995	34177	25566
18947	33493	35396	34758	23111
18904	35430	33906	33222	25279
18852	32651	33306	32750	24073
18909	32225	35332	34144	23066
18922	32725	33851	33311	25468
18870	35213	34226	32526	26593
19009	33212	33763	35226	25760
18860	34524	34123	33661	25615
18868	34975	34987	35561	25402
18865	33431	33357	35585	25420
18927	36016	33992	32790	23769
18874	34164	34696	32219	22976
18851	35239	32230	32589	25338
18856	34944	34744	34035	26141
18851	33909	35200	35286	24014
18921	34288	32911	34430	25201
18900	34981	34168	33706	25877
18856	34120	32873	34520	24735
18922	34996	33007	32669	23335
18874	35025	32706	33240	25411
18940	33207	33652	34458	25995
18900	35218	34167	33247	24829
18901	32120	34811	35059	25602
18904	35489	32264	34633	26956
19106	34892	33325	33927	24231
19221	33469	33851	33999	24855
19080	32297	32820	34178	25848
18879	35355	35327	33375	24012
18831	32065	34411	34203	24289
18922	33165	32841	33502	23820
18922	35187	35089	34827	26738
18922	34274	35280	35033	23814
18927	34247	33879	34024	24776
18907	34158	33118	33892	28401
18902	33617	35069	34895	23865
18874	34767	35183	32380	25116
19028	35879	33926	33827	25036
18927	33341	32688	33609	25190
18904	34868	35452	31956	27026
18830	32547	33398	33469	25575
18883	34976	34038	32769	25391
18836	32351	34153	33012	24253
18904	34338	34320	33140	25135
18944	34396	34586	34031	25726
18849	31708	35173	34203	24980
18904	32283	34300	34964	24587
18910	33814	34626	34891	26250
18922	35234	33032	33349	26430
18923	34440	33357	33616	22063
18860	34873	32786	34820	25392
18835	34811	35032	33407	24475
18922	32996	34451	34805	23502
18879	33585	33918	34074	25128
18944	34615	31654	33613	26163
18890	32433	33275	32597	25554
19003	34505	34504	34388	26288
18773	33842	35267	34754	27411
18806	35381	35720	33670	25300
18895	34110	32964	35352	25899
18895	33737	35776	32927	26195
18869	35128	33445	34665	25507
18913	35935	33692	33916	24525
19128	35612	32018	33890	24497
18897	32883	32819	34798	26610
18941	33567	34479	35555	26097
18897	33496	33645	35404	26562
18904	32718	34764	32560	24154
18922	35560	33307	34808	22663
18823	34483	34971	33687	27823
18840	33165	33663	33719	25411
18878	35391	33650	35214	23670
19236	33547	36162	33692	26743
18922	32091	33385	32694	25809
18890	35238	34903	33390	25207
18890	32746	34067	32128	26159
18879	30939	34249	34181	25579
18879	32067	34046	34255	25782
18846	36128	33672	34342	25283
18891	33324	34402	32040	25549
18858	33362	32805	34264	24240
19042	33724	33663	32509	26301
